# NextExplorer — Deutsch (de). key<TAB>value.
common.cancel	Abbrechen
common.save	Sichern
common.edit	Bearbeiten
common.retry	Erneut versuchen
common.delete	Löschen
common.remove	Entfernen
common.clear	Löschen
common.done	Fertig
common.ok	OK
common.openSettings	Einstellungen öffnen
common.logOut	Abmelden
common.close	Schließen
common.back	Zurück
common.share	Teilen
common.download	Laden
common.sort	Sortieren
common.select	Auswählen
common.search	Suchen
common.password	Passwort
common.never	Nie
common.selectedCount	%lld ausgewählt
tab.browse	Durchsuchen
tab.favorites	Favoriten
tab.shared	Geteilt
tab.downloads	Downloads
tab.settings	Einstellungen
sort.sheetTitle	Sortieren nach
sort.name	Name
sort.size	Größe
sort.kind	Art
sort.dateModified	Änderungsdatum
sort.dateAdded	Hinzufügedatum
sort.dateShared	Teilungsdatum
sort.expiration	Ablauf
sort.email	E-Mail
sort.type	Typ
sort.ascending	Aufsteigend
sort.descending	Absteigend
select.selectAll	Alle auswählen
select.deselectAll	Auswahl aufheben
select.listView	Listenansicht
select.gridView	Rasteransicht
emptyState.folderEmpty	Dieser Ordner ist leer.
emptyState.loadFailed	Server konnte nicht erreicht werden.
emptyState.noSearchMatches	Keine Treffer für „%@“.
accessMode.readonly	Nur Lesen
accessMode.readwrite	Lesen & Schreiben
shareTarget.anyone	Jeder mit dem Link
shareTarget.users	Bestimmte Benutzer
directLinkMode.auto	Automatisch
directLinkMode.inline	Ansehen
directLinkMode.raw	Roh
directLinkMode.download	Laden
thumbnailSize.small	Klein
thumbnailSize.medium	Mittel
thumbnailSize.large	Groß
downloadLocation.documents	Dokumente
downloadLocation.cache	Cache
dateFormat.automatic	Automatisch
browse.navigationTitle	Durchsuchen
browse.scopeThisFolder	Dieser Ordner
browse.scopeEverywhere	Überall
browse.searchScopeInFolder	Dieser Ordner
browse.searchScopeEverywhere	Überall
browse.locations	Orte
browse.open	Öffnen
browse.unsupportedFileType	Nicht unterstützter Dateityp
browse.actionGetInfo	Informationen
browse.actionPermissions	Berechtigungen
browse.actionRename	Umbenennen
browse.actionExtract	Entpacken
browse.actionCompress	Komprimieren
browse.actionDownload	Laden
browse.actionAddToFavorites	Zu Favoriten hinzufügen
browse.actionRemoveFromFavorites	Aus Favoriten entfernen
browse.actionShare	Freigabelink erstellen
browse.actionDelete	Löschen
browse.renameTitle	Umbenennen
browse.renameNamePlaceholder	Name
browse.actionNewFolder	Ordner erstellen
browse.newFolderTitle	Neuer Ordner
browse.newFolderPlaceholder	Ordnername
browse.newFolderConfirm	Erstellen
browse.deleteConfirmTitle	Löschen?
browse.deleteConfirmOne	„%@“ löschen?
browse.deleteConfirmMany	%lld Objekte löschen?
browse.deleteMessage	Dies kann nicht rückgängig gemacht werden.
browse.deleteLinkedSharesOne	Dadurch wird auch 1 Freigabelink entfernt, der hierher verweist.
browse.deleteLinkedSharesMany	Dadurch werden auch %lld Freigabelinks entfernt, die hierher verweisen.
browse.deleteLinkedSharesUnavailable	Links, die hierher verweisen, konnten nicht geprüft werden. Vorhandene Links funktionieren dann nicht mehr.
browse.searchNoMatchesInFolder	Keine Treffer für „%@“.
browse.searchEverywhere	Überall suchen
browse.searchFailed	Suche fehlgeschlagen. Prüfe deine Verbindung und versuche es erneut.
browse.progressExtracting	Wird entpackt…
browse.progressCompressing	Wird komprimiert…
browse.progressDownloading	Wird geladen…
browse.progressDownloadingIndexed	%1$lld von %2$lld wird geladen…
browse.downloadSavedTo	Gesichert in %@
browse.downloadSavedCountTo	%1$lld von %2$lld Objekten in %3$@ gesichert
browse.downloadSavedAllTo	%1$lld Objekte in %2$@ gesichert
browse.downloadBulkFailed	Diese Objekte konnten nicht auf deinem Gerät gesichert werden.
browse.offlineBannerTitle	Offline
browse.offlineBannerDetail	Gesicherte Kopie von %@ wird angezeigt
browse.actionCopy	Kopieren
browse.destinationPickerMoveTitle	Bewegen nach…
browse.destinationPickerConfirmMove	Hierher bewegen
browse.destinationPickerNoFolders	Keine Ordner hier
browse.destinationPickerLoadFailed	Ordner konnten nicht geladen werden.
browse.actionMove	Bewegen
browse.actionPaste	Einsetzen
browse.actionPasteCount	%lld Objekte einsetzen
browse.actionPasteHere	Hier einsetzen
browse.actionClearClipboard	Zwischenablage leeren
browse.clipboardMoveCount	%lld zu bewegen
browse.clipboardCopyCount	%lld zu kopieren
browse.clipboardCopiedOne	%@ kopiert
browse.clipboardCopiedMany	%lld Objekte kopiert
browse.progressMoving	Wird bewegt…
browse.progressCopying	Wird kopiert…
browse.transferMoved	%lld Objekte bewegt
browse.transferCopied	%lld Objekte kopiert
browse.transferMovedWithSkipped	%1$lld Objekte bewegt, %2$lld übersprungen
browse.transferCopiedWithSkipped	%1$lld Objekte kopiert, %2$lld übersprungen
browse.transferConflictTitle	Objekte ersetzen?
browse.transferConflictMessageOne	„%@“ ist in diesem Ordner bereits vorhanden.
browse.transferConflictMessageMany	%lld Objekte sind in diesem Ordner bereits vorhanden.
browse.transferConflictReplace	Ersetzen
browse.transferConflictKeepBoth	Beide behalten
browse.actionOpenInBrowser	Im Browser öffnen
favorites.navigationTitle	Favoriten
favorites.emptyList	Markiere Ordner in Durchsuchen mit einem Stern, um sie hier zu sehen.
favorites.actionRemoveFromFavorites	Aus Favoriten entfernen
favorites.actionEdit	Bearbeiten
favorites.editTitle	Favorit bearbeiten
favorites.editNameLabel	Name
favorites.editNameErrorEmpty	Der Name darf nicht leer sein.
favorites.editIconLabel	Symbol
favorites.editIconOutline	Umriss
favorites.editIconSolid	Gefüllt
favorites.editColorLabel	Farbe
favorites.editColorDefault	Standard
favorites.editSave	Sichern
favorites.reorderFailed	Neue Reihenfolge konnte nicht gesichert werden.
favorites.removeConfirm	%lld Favoriten entfernen?
favorites.removeMessage	Dies entfernt sie nur aus den Favoriten.
favorites.removeFailedOne	Dieser Favorit konnte nicht entfernt werden.
favorites.removeFailedMany	Diese Favoriten konnten nicht entfernt werden.
favorites.removePartial	%1$lld von %2$lld entfernt.
downloads.navigationTitle	Downloads
downloads.actionOpenInFiles	In Dateien öffnen
downloads.emptyList	Dateien, die du aus Durchsuchen lädst, erscheinen hier.
downloads.deleteConfirmTitle	Löschen?
downloads.deleteConfirmOne	„%@“ löschen?
downloads.deleteConfirmMany	%lld Dateien löschen?
downloads.deleteSingleMessage	Dies entfernt nur die lokale Kopie. Die Datei bleibt auf dem Server.
downloads.deleteBulkMessage	Dies entfernt nur die lokalen Kopien. Die Dateien bleiben auf dem Server.
downloads.errorNameExists	Eine Datei mit diesem Namen ist bereits vorhanden.
downloads.errorInvalidName	Dieser Name ist nicht zulässig.
downloads.errorMissing	Diese Datei wurde nicht mehr gefunden.
downloads.errorGeneric	Diese Aktion konnte nicht abgeschlossen werden.
unsupportedPreview.genericType	Datei
unsupportedPreview.cannotOpen	Diese App kann diesen Dateityp nicht öffnen.
uploads.navigationTitle	Uploads
uploads.menuTitle	Hochladen
uploads.actionUploadFromFiles	Aus Dateien hochladen
uploads.actionUploadFromPhotos	Aus Galerie hochladen
uploads.actionTakePhoto	Foto oder Video aufnehmen
uploads.cameraDeniedTitle	Kamerazugriff erforderlich
uploads.cameraDeniedMessage	Erlaube den Kamerazugriff in den Einstellungen, um ein Foto oder Video aufzunehmen.
uploads.destinationTitle	Hochladen nach…
uploads.destinationConfirm	Hierher hochladen
uploads.reviewTitleOne	1 Datei hochladen
uploads.reviewTitleMany	%lld Dateien hochladen
uploads.reviewSectionFiles	Dateien
uploads.reviewSectionPath	Pfad
uploads.reviewSectionSize	Gesamtgröße
uploads.reviewChooseFolder	Ordner auswählen
uploads.reviewUploadButton	Hochladen
uploads.reviewPreparing	%lld wird vorbereitet…
uploads.reviewAddMore	Weitere Dateien hinzufügen
uploads.reviewPreviewFile	%@ vorschauen
uploads.reviewInsecureNetworkNotice	Über http verbunden. Wenn dieser Server nur in deinem Heimnetzwerk ist, funktionieren Uploads nicht, wenn du dich außerhalb befindest.
uploads.stagingFailed	Diese Dateien konnten nicht hinzugefügt werden. Versuche es erneut.
uploads.stagingSkipped	%lld Objekte konnten nicht vorbereitet werden und wurden ausgelassen.
uploads.discardTitle	Upload verwerfen?
uploads.discardMessage	Die hinzugefügten Dateien werden nicht hochgeladen.
uploads.discardConfirm	Verwerfen
uploads.statusWaiting	Warten
uploads.statusFailed	Upload fehlgeschlagen
uploads.barTitleOne	%@ wird hochgeladen
uploads.barTitleMany	%lld Dateien werden hochgeladen
uploads.barFailedOne	1 Upload fehlgeschlagen
uploads.barFailedMany	%lld Uploads fehlgeschlagen
uploads.retryAll	Alle erneut versuchen
uploads.complete	Upload abgeschlossen
uploads.completeMany	%lld Dateien hochgeladen
uploads.completeWithFailures	%1$lld hochgeladen, %2$lld fehlgeschlagen
uploads.failedGeneric	Diese Datei konnte nicht hochgeladen werden.
uploads.clear	Löschen
uploads.emptyList	Noch keine Uploads.
uploads.cancelAll	Alle Uploads abbrechen
shared.navigationTitle	Geteilt
shared.segmentByMe	Von mir
shared.segmentWithMe	Mit mir
shared.sectionExpired	Abgelaufen
shared.badgeExpired	abgelaufen
shared.emptyByMe	Teile eine Datei oder einen Ordner, um den Link hier zu sehen.
shared.emptyWithMe	Links, die andere mit dir teilen, erscheinen hier.
shared.noSearchMatches	Keine Freigaben passen zu „%@“.
shared.deleteTitle	Freigabelink löschen?
shared.deleteMessage	Der Link funktioniert sofort nicht mehr. Die Datei oder der Ordner selbst wird nicht berührt.
shared.sharedByUnknown	Jemand
shared.metaAccess	Zugriff
shared.metaExpiration	Ablauf
shared.metaSharedBy	Geteilt von
shared.metaSharedWith	Geteilt mit
shared.anyoneWithLink	Jeder mit dem Link
shared.linkMode	Linkmodus
shared.actionShareLink	Link teilen
shared.actionFolderLink	Ordnerlink
shared.actionFileLink	Dateilink
shared.moreRecipients	+%lld
shared.copiedShareLink	Freigabelink kopiert
shared.copiedFolderZip	ZIP-Link des Ordners kopiert
shared.copiedDirectFile	Direkter Dateilink kopiert
createShare.title	Freigabelink erstellen
createShare.titleCreated	Freigabe erstellt
createShare.sectionLabel	Bezeichnung
createShare.sectionAccessMode	Zugriffsmodus
createShare.sectionWhoCanAccess	Wer kann zugreifen
createShare.sectionShareLink	Freigabelink
createShare.fieldPassword	Passwort
createShare.togglePasswordProtect	Mit Passwort schützen
createShare.toggleSetExpiration	Ablaufdatum festlegen
createShare.fieldExpires	Läuft ab
createShare.submit	Freigabelink erstellen
createShare.loadingUsers	Benutzer werden geladen…
createShare.noOtherUsers	Keine anderen Benutzer zum Teilen.
createShare.sharingPrefix	Teilen:
createShare.createdBanner	Freigabelink erfolgreich erstellt!
createShare.viewInShared	In Geteilt ansehen
createShare.directLinkMode	Direktlinkmodus
createShare.directFolderLink	Direkter ZIP-Link des Ordners
createShare.directFileLink	Direkter Dateilink
createShare.summaryAccess	Zugriff
createShare.summarySharedWith	Geteilt mit
createShare.summaryPassword	Passwort
createShare.summaryPasswordProtected	Geschützt
createShare.summaryExpires	Läuft ab
createShare.summarySpecificPeople	Bestimmte Personen
createShare.errorPastExpiration	Wähle ein Ablaufdatum in der Zukunft.
editShare.title	Freigabelink bearbeiten
editShare.save	Änderungen sichern
editShare.passwordKeepHint	Leer lassen, um das aktuelle Passwort zu behalten
editShare.savedToast	Freigabelink aktualisiert
thumbnailSettings.navigationTitle	Miniaturen
thumbnailSettings.subtitle	Steuere, wie der Server Bildminiaturen für jeden Client erzeugt.
thumbnailSettings.enable	Miniaturen erzeugen
thumbnailSettings.enableHelp	Deaktivieren, um stattdessen überall vollständige Bilder auszuliefern.
thumbnailSettings.quality	Qualität
thumbnailSettings.qualityHelp	Höher sieht besser aus und braucht mehr Speicher.
thumbnailSettings.maxDimension	Maximale Größe
thumbnailSettings.maxDimensionHelp	Längste Kante einer erzeugten Miniatur, in Pixeln.
thumbnailSettings.concurrency	Parallelität
thumbnailSettings.concurrencyHelp	Wie viele Miniaturen der Server gleichzeitig erstellt.
thumbnailSettings.unavailable	Miniatureinstellungen sind nur für Administratoren verfügbar.
thumbnailSettings.saveButton	Änderungen sichern
accessRules.navigationTitle	Ordnerzugriffsregeln
accessRules.subtitle	Überschreibe den Lese- und Schreibzugriff für bestimmte Pfade.
accessRules.addRule	Regel hinzufügen
accessRules.empty	Keine Zugriffsregeln konfiguriert.
accessRules.emptyHint	Füge eine Regel hinzu, um den Zugriff auf einen Pfad zu überschreiben.
accessRules.pathLabel	Pfad
accessRules.pathPlaceholder	Dokumente/Berichte
accessRules.recursive	Auf Unterordner anwenden
accessRules.permissionReadWrite	Lesen & Schreiben
accessRules.permissionReadOnly	Nur Lesen
accessRules.permissionHidden	Ausgeblendet
accessRules.remove	Entfernen
accessRules.unavailable	Zugriffsregeln sind nur für Administratoren verfügbar.
accessRules.saveButton	Änderungen sichern
settings.rowThumbnails	Miniaturen
settings.rowAccessRules	Ordnerzugriffsregeln
settings.navigationTitle	Einstellungen
settings.appVersion	v. %1$@ (b. %2$@)
settings.sectionGeneral	Allgemein
settings.sectionDisplay	Anzeige
settings.sectionStorage	Speicher
settings.sectionServerStorage	Serverspeicher
settings.serverStorageUsed	%1$@ von %2$@
settings.sectionLicenses	Lizenzen
settings.sectionLegal	Rechtliches
settings.sectionUsers	Benutzer
settings.sectionAdmin	Verwaltung
settings.sectionInfo	Info
settings.toggleShowHiddenFiles	Ausgeblendete Dateien anzeigen
settings.toggleRenderHTML	HTML-Seiten rendern
settings.toggleRenderMarkdown	Markdown-Dateien rendern
settings.toggleHaptics	Haptik
settings.toggleDarkMode	Dunkler Modus
settings.toggleShowThumbnails	Miniaturen anzeigen
settings.toggleShowExtensions	Dateiendungen anzeigen
settings.toggleRemoveArchives	Archive nach dem Laden entfernen
settings.toggleKeepClipboard	Objekte nach dem Einsetzen behalten
settings.toggleKeepClipboardSubtitle	Kopierte Objekte bleiben bereit, um in einen anderen Ordner eingesetzt zu werden. Bewegte Objekte werden immer gelöscht.
settings.rowDateFormat	Datumsformat
settings.rowLanguage	Sprache
settings.rowThumbnailSize	Miniaturgröße
settings.rowRemoveAllDownloads	Alle Downloads entfernen
settings.rowClearCache	Cache leeren
settings.rowOpenSourceLicenses	Open-Source-Lizenzen
settings.rowPrivacyPolicy	Datenschutzrichtlinie
settings.rowTermsOfUse	Nutzungsbedingungen
settings.rowUserManagement	Benutzerverwaltung
settings.rowChangePassword	Passwort ändern
settings.rowServer	Server
settings.storageFootnote	Beim Laden eines Ordners wird dieser zuerst auf dem Server als ZIP komprimiert. Aktiviere den Schalter oben, um dieses Archiv vom Server zu löschen, sobald es auf deinem Gerät gesichert wurde. Das Entfernen von Downloads oder das Leeren des Caches betrifft nur dieses Gerät; auf dem Server wird nichts berührt.
settings.removeAllDownloadsTitle	Alle Downloads entfernen?
settings.removeAllDownloadsConfirm	Alle entfernen
