# NextExplorer — Español (es). key<TAB>value. Generado a partir de la fuente en inglés.
common.cancel	Cancelar
common.save	Guardar
common.edit	Editar
common.retry	Reintentar
common.delete	Eliminar
common.remove	Quitar
common.clear	Borrar
common.done	Listo
common.ok	Aceptar
common.openSettings	Abrir Ajustes
common.logOut	Cerrar sesión
common.close	Cerrar
common.back	Atrás
common.share	Compartir
common.download	Descargar
common.sort	Ordenar
common.select	Seleccionar
common.search	Buscar
common.password	Contraseña
common.never	Nunca
common.selectedCount	%lld seleccionados
tab.browse	Explorar
tab.favorites	Favoritos
tab.shared	Compartidos
tab.downloads	Descargas
tab.settings	Ajustes
sort.sheetTitle	Ordenar por
sort.name	Nombre
sort.size	Tamaño
sort.kind	Tipo
sort.dateModified	Fecha de modificación
sort.dateAdded	Fecha de adición
sort.dateShared	Fecha de compartición
sort.expiration	Caducidad
sort.email	Correo
sort.type	Tipo
sort.ascending	Ascendente
sort.descending	Descendente
select.selectAll	Seleccionar todo
select.deselectAll	Deseleccionar todo
select.listView	Vista de lista
select.gridView	Vista de cuadrícula
emptyState.folderEmpty	Esta carpeta está vacía.
emptyState.loadFailed	No se pudo conectar con el servidor.
emptyState.noSearchMatches	Sin resultados para “%@”.
accessMode.readonly	Solo lectura
accessMode.readwrite	Lectura y escritura
shareTarget.anyone	Cualquiera con el enlace
shareTarget.users	Usuarios específicos
directLinkMode.auto	Automático
directLinkMode.inline	Ver
directLinkMode.raw	Sin procesar
directLinkMode.download	Descargar
thumbnailSize.small	Pequeña
thumbnailSize.medium	Mediana
thumbnailSize.large	Grande
downloadLocation.documents	Documentos
downloadLocation.cache	Caché
dateFormat.automatic	Automático
browse.navigationTitle	Explorar
browse.scopeThisFolder	Esta carpeta
browse.scopeEverywhere	En todo
browse.searchScopeInFolder	Esta carpeta
browse.searchScopeEverywhere	En todo
browse.locations	Ubicaciones
browse.open	Abrir
browse.unsupportedFileType	Tipo de archivo no compatible
browse.actionGetInfo	Información
browse.actionPermissions	Permisos
browse.actionRename	Renombrar
browse.actionExtract	Extraer
browse.actionCompress	Comprimir
browse.actionDownload	Descargar
browse.actionAddToFavorites	Añadir a Favoritos
browse.actionRemoveFromFavorites	Quitar de Favoritos
browse.actionShare	Crear enlace de compartición
browse.actionDelete	Eliminar
browse.renameTitle	Renombrar
browse.renameNamePlaceholder	Nombre
browse.actionNewFolder	Crear carpeta
browse.newFolderTitle	Nueva carpeta
browse.newFolderPlaceholder	Nombre de la carpeta
browse.newFolderConfirm	Crear
browse.deleteConfirmTitle	¿Eliminar?
browse.deleteConfirmOne	¿Eliminar “%@”?
browse.deleteConfirmMany	¿Eliminar %lld elementos?
browse.deleteMessage	Esta acción no se puede deshacer.
browse.deleteLinkedSharesOne	Esto también elimina 1 enlace de compartición que apunta aquí.
browse.deleteLinkedSharesMany	Esto también elimina %lld enlaces de compartición que apuntan aquí.
browse.deleteLinkedSharesUnavailable	No se pudieron comprobar los enlaces que apuntan aquí. Los que existan dejarán de funcionar.
browse.searchNoMatchesInFolder	Sin resultados para “%@”.
browse.searchEverywhere	Buscar en todo
browse.searchFailed	No se pudo buscar. Comprueba tu conexión e inténtalo de nuevo.
browse.progressExtracting	Extrayendo…
browse.progressCompressing	Comprimiendo…
browse.progressDownloading	Descargando…
browse.progressDownloadingIndexed	Descargando %1$lld de %2$lld…
browse.downloadSavedTo	Guardado en %@
browse.downloadSavedCountTo	Se guardaron %1$lld de %2$lld elementos en %3$@
browse.downloadSavedAllTo	Se guardaron %1$lld elementos en %2$@
browse.downloadBulkFailed	No se pudieron guardar estos elementos en tu dispositivo.
browse.offlineBannerTitle	Sin conexión
browse.offlineBannerDetail	Mostrando una copia guardada de %@
browse.actionCopy	Copiar
browse.destinationPickerMoveTitle	Mover a…
browse.destinationPickerConfirmMove	Mover aquí
browse.destinationPickerNoFolders	No hay carpetas aquí
browse.destinationPickerLoadFailed	No se pudieron cargar las carpetas.
browse.actionMove	Mover
browse.actionPaste	Pegar
browse.actionPasteCount	Pegar %lld elementos
browse.actionPasteHere	Pegar aquí
browse.actionClearClipboard	Vaciar portapapeles
browse.clipboardMoveCount	%lld para mover
browse.clipboardCopyCount	%lld para copiar
browse.clipboardCopiedOne	%@ copiado
browse.clipboardCopiedMany	%lld elementos copiados
browse.progressMoving	Moviendo…
browse.progressCopying	Copiando…
browse.transferMoved	Se movieron %lld elementos
browse.transferCopied	Se copiaron %lld elementos
browse.transferMovedWithSkipped	Se movieron %1$lld elementos, se omitieron %2$lld
browse.transferCopiedWithSkipped	Se copiaron %1$lld elementos, se omitieron %2$lld
browse.transferConflictTitle	¿Reemplazar elementos?
browse.transferConflictMessageOne	"%@" ya existe en esta carpeta.
browse.transferConflictMessageMany	%lld elementos ya existen en esta carpeta.
browse.transferConflictReplace	Reemplazar
browse.transferConflictKeepBoth	Conservar ambos
browse.actionOpenInBrowser	Abrir en el navegador
favorites.navigationTitle	Favoritos
favorites.emptyList	Marca carpetas en Explorar para verlas aquí.
favorites.actionRemoveFromFavorites	Quitar de Favoritos
favorites.actionEdit	Editar
favorites.editTitle	Editar favorito
favorites.editNameLabel	Nombre
favorites.editNameErrorEmpty	El nombre no puede estar vacío.
favorites.editIconLabel	Icono
favorites.editIconOutline	Contorno
favorites.editIconSolid	Relleno
favorites.editColorLabel	Color
favorites.editColorDefault	Predeterminado
favorites.editSave	Guardar
favorites.reorderFailed	No se pudo guardar el nuevo orden.
favorites.removeConfirm	¿Quitar %lld favoritos?
favorites.removeMessage	Esto solo los quita de Favoritos.
favorites.removeFailedOne	No se pudo quitar ese favorito.
favorites.removeFailedMany	No se pudieron quitar esos favoritos.
favorites.removePartial	Se quitaron %1$lld de %2$lld.
downloads.navigationTitle	Descargas
downloads.actionOpenInFiles	Abrir en Archivos
downloads.emptyList	Los archivos que descargues desde Explorar aparecerán aquí.
downloads.deleteConfirmTitle	¿Eliminar?
downloads.deleteConfirmOne	¿Eliminar “%@”?
downloads.deleteConfirmMany	¿Eliminar %lld archivos?
downloads.deleteSingleMessage	Esto solo elimina la copia local. El archivo permanece en el servidor.
downloads.deleteBulkMessage	Esto solo elimina las copias locales. Los archivos permanecen en el servidor.
downloads.errorNameExists	Ya existe un archivo con ese nombre.
downloads.errorInvalidName	Ese nombre no está permitido.
downloads.errorMissing	Ya no se pudo encontrar ese archivo.
downloads.errorGeneric	No se pudo completar esa acción.
unsupportedPreview.genericType	Archivo
