# NextExplorer — Français (fr). key<TAB>value.
common.cancel	Annuler
common.save	Enregistrer
common.edit	Modifier
common.retry	Réessayer
common.delete	Supprimer
common.remove	Retirer
common.clear	Effacer
common.done	OK
common.ok	OK
common.openSettings	Ouvrir Réglages
common.logOut	Se déconnecter
common.close	Fermer
common.back	Retour
common.share	Partager
common.download	Télécharger
common.sort	Trier
common.select	Sélectionner
common.search	Rechercher
common.password	Mot de passe
common.never	Jamais
common.selectedCount	%lld sélectionnés
tab.browse	Explorer
tab.favorites	Favoris
tab.shared	Partagés
tab.downloads	Téléchargements
tab.settings	Réglages
sort.sheetTitle	Trier par
sort.name	Nom
sort.size	Taille
sort.kind	Type
sort.dateModified	Date de modification
sort.dateAdded	Date d'ajout
sort.dateShared	Date de partage
sort.expiration	Expiration
sort.email	E-mail
sort.type	Type
sort.ascending	Croissant
sort.descending	Décroissant
select.selectAll	Tout sélectionner
select.deselectAll	Tout désélectionner
select.listView	Vue en liste
select.gridView	Vue en grille
emptyState.folderEmpty	Ce dossier est vide.
emptyState.loadFailed	Impossible de joindre le serveur.
emptyState.noSearchMatches	Aucun résultat pour « %@ ».
accessMode.readonly	Lecture seule
accessMode.readwrite	Lecture et écriture
shareTarget.anyone	Toute personne disposant du lien
shareTarget.users	Utilisateurs spécifiques
directLinkMode.auto	Automatique
directLinkMode.inline	Afficher
directLinkMode.raw	Brut
directLinkMode.download	Télécharger
thumbnailSize.small	Petite
thumbnailSize.medium	Moyenne
thumbnailSize.large	Grande
downloadLocation.documents	Documents
downloadLocation.cache	Cache
dateFormat.automatic	Automatique
browse.navigationTitle	Explorer
browse.scopeThisFolder	Ce dossier
browse.scopeEverywhere	Partout
browse.searchScopeInFolder	Ce dossier
browse.searchScopeEverywhere	Partout
browse.locations	Emplacements
browse.open	Ouvrir
browse.unsupportedFileType	Type de fichier non pris en charge
browse.actionGetInfo	Informations
browse.actionPermissions	Autorisations
browse.actionRename	Renommer
browse.actionExtract	Extraire
browse.actionCompress	Compresser
browse.actionDownload	Télécharger
browse.actionAddToFavorites	Ajouter aux favoris
browse.actionRemoveFromFavorites	Retirer des favoris
