# NextExplorer — हिन्दी (hi). key<TAB>value.
common.cancel	रद्द करें
common.save	सहेजें
common.edit	संपादित करें
common.retry	पुनः प्रयास करें
common.delete	हटाएं
common.remove	निकालें
common.clear	साफ़ करें
common.done	पूर्ण
common.ok	ठीक है
common.openSettings	सेटिंग्स खोलें
common.logOut	साइन आउट करें
common.close	बंद करें
common.back	वापस
common.share	साझा करें
common.download	डाउनलोड करें
common.sort	क्रमबद्ध करें
common.select	चुनें
common.search	खोजें
common.password	पासवर्ड
common.never	कभी नहीं
common.selectedCount	%lld चयनित
tab.browse	ब्राउज़ करें
tab.favorites	पसंदीदा
tab.shared	साझा किए गए
tab.downloads	डाउनलोड
tab.settings	सेटिंग्स
sort.sheetTitle	इसके अनुसार क्रमबद्ध करें
sort.name	नाम
sort.size	आकार
sort.kind	प्रकार
sort.dateModified	संशोधन तिथि
sort.dateAdded	जोड़ने की तिथि
sort.dateShared	साझा करने की तिथि
sort.expiration	समाप्ति
sort.email	ईमेल
sort.type	प्रकार
sort.ascending	आरोही
sort.descending	अवरोही
select.selectAll	सभी चुनें
select.deselectAll	सभी अचयनित करें
select.listView	सूची दृश्य
select.gridView	ग्रिड दृश्य
emptyState.folderEmpty	यह फ़ोल्डर खाली है।
emptyState.loadFailed	सर्वर तक नहीं पहुंच सके।
emptyState.noSearchMatches	“%@” के लिए कोई परिणाम नहीं।
accessMode.readonly	केवल पढ़ने योग्य
accessMode.readwrite	पढ़ना और लिखना
shareTarget.anyone	लिंक वाला कोई भी व्यक्ति
shareTarget.users	विशिष्ट उपयोगकर्ता
directLinkMode.auto	स्वचालित
directLinkMode.inline	देखें
directLinkMode.raw	रॉ
directLinkMode.download	डाउनलोड
thumbnailSize.small	छोटा
thumbnailSize.medium	मध्यम
thumbnailSize.large	बड़ा
downloadLocation.documents	दस्तावेज़
downloadLocation.cache	कैश
dateFormat.automatic	स्वचालित
browse.navigationTitle	ब्राउज़ करें
browse.scopeThisFolder	यह फ़ोल्डर
browse.scopeEverywhere	हर जगह
browse.searchScopeInFolder	यह फ़ोल्डर
browse.searchScopeEverywhere	हर जगह
browse.locations	स्थान
browse.open	खोलें
browse.unsupportedFileType	असमर्थित फ़ाइल प्रकार
browse.actionGetInfo	जानकारी
browse.actionPermissions	अनुमतियां
browse.actionRename	नाम बदलें
browse.actionExtract	निकालें
browse.actionCompress	संपीड़ित करें
browse.actionDownload	डाउनलोड करें
browse.actionAddToFavorites	पसंदीदा में जोड़ें
browse.actionRemoveFromFavorites	पसंदीदा से निकालें
browse.actionShare	साझा लिंक बनाएं
browse.actionDelete	हटाएं
browse.renameTitle	नाम बदलें
browse.renameNamePlaceholder	नाम
browse.actionNewFolder	फ़ोल्डर बनाएं
browse.newFolderTitle	नया फ़ोल्डर
browse.newFolderPlaceholder	फ़ोल्डर का नाम
browse.newFolderConfirm	बनाएं
browse.deleteConfirmTitle	हटाएं?
browse.deleteConfirmOne	“%@” हटाएं?
browse.deleteConfirmMany	%lld आइटम हटाएं?
browse.deleteMessage	इसे पूर्ववत नहीं किया जा सकता।
browse.deleteLinkedSharesOne	इससे यहां इंगित करने वाला 1 साझा लिंक भी हट जाता है।
browse.deleteLinkedSharesMany	इससे यहां इंगित करने वाले %lld साझा लिंक भी हट जाते हैं।
browse.deleteLinkedSharesUnavailable	यहां इंगित करने वाले लिंक जांच नहीं सके। जो मौजूद हैं वे काम करना बंद कर देंगे।
browse.searchNoMatchesInFolder	“%@” के लिए कोई परिणाम नहीं।
browse.searchEverywhere	हर जगह खोजें
browse.searchFailed	खोज नहीं सके। अपना कनेक्शन जांचें और पुनः प्रयास करें।
browse.progressExtracting	निकाला जा रहा है…
browse.progressCompressing	संपीड़ित किया जा रहा है…
browse.progressDownloading	डाउनलोड हो रहा है…
browse.progressDownloadingIndexed	%2$lld में से %1$lld डाउनलोड हो रहा है…
browse.downloadSavedTo	%@ में सहेजा गया
browse.downloadSavedCountTo	%2$lld में से %1$lld आइटम %3$@ में सहेजे गए
browse.downloadSavedAllTo	%1$lld आइटम %2$@ में सहेजे गए
browse.downloadBulkFailed	इन आइटम को आपके डिवाइस पर सहेज नहीं सके।
browse.offlineBannerTitle	ऑफ़लाइन
browse.offlineBannerDetail	%@ से सहेजी गई प्रति दिखाई जा रही है
browse.actionCopy	कॉपी करें
browse.destinationPickerMoveTitle	यहां ले जाएं…
browse.destinationPickerConfirmMove	यहां ले जाएं
browse.destinationPickerNoFolders	यहां कोई फ़ोल्डर नहीं
browse.destinationPickerLoadFailed	फ़ोल्डर लोड नहीं कर सके।
browse.actionMove	ले जाएं
