# NextExplorer — Italiano (it). key<TAB>value.
common.cancel	Annulla
common.save	Salva
common.edit	Modifica
common.retry	Riprova
common.delete	Elimina
common.remove	Rimuovi
common.clear	Cancella
common.done	Fatto
common.ok	OK
common.openSettings	Apri Impostazioni
common.logOut	Esci
common.close	Chiudi
common.back	Indietro
common.share	Condividi
common.download	Scarica
common.sort	Ordina
common.select	Seleziona
common.search	Cerca
common.password	Password
common.never	Mai
common.selectedCount	%lld selezionati
tab.browse	Esplora
tab.favorites	Preferiti
tab.shared	Condivisi
tab.downloads	Download
tab.settings	Impostazioni
sort.sheetTitle	Ordina per
sort.name	Nome
sort.size	Dimensione
sort.kind	Tipo
sort.dateModified	Data di modifica
sort.dateAdded	Data di aggiunta
sort.dateShared	Data di condivisione
sort.expiration	Scadenza
sort.email	Email
sort.type	Tipo
sort.ascending	Crescente
sort.descending	Decrescente
select.selectAll	Seleziona tutto
select.deselectAll	Deseleziona tutto
select.listView	Vista elenco
select.gridView	Vista griglia
emptyState.folderEmpty	Questa cartella è vuota.
emptyState.loadFailed	Impossibile raggiungere il server.
emptyState.noSearchMatches	Nessun risultato per “%@”.
accessMode.readonly	Sola lettura
accessMode.readwrite	Lettura e scrittura
shareTarget.anyone	Chiunque abbia il link
shareTarget.users	Utenti specifici
directLinkMode.auto	Automatico
directLinkMode.inline	Visualizza
directLinkMode.raw	Grezzo
directLinkMode.download	Scarica
thumbnailSize.small	Piccola
thumbnailSize.medium	Media
thumbnailSize.large	Grande
downloadLocation.documents	Documenti
downloadLocation.cache	Cache
dateFormat.automatic	Automatico
browse.navigationTitle	Esplora
browse.scopeThisFolder	Questa cartella
browse.scopeEverywhere	Ovunque
browse.searchScopeInFolder	Questa cartella
browse.searchScopeEverywhere	Ovunque
browse.locations	Posizioni
browse.open	Apri
browse.unsupportedFileType	Tipo di file non supportato
browse.actionGetInfo	Informazioni
browse.actionPermissions	Autorizzazioni
browse.actionRename	Rinomina
browse.actionExtract	Estrai
browse.actionCompress	Comprimi
browse.actionDownload	Scarica
browse.actionAddToFavorites	Aggiungi ai Preferiti
browse.actionRemoveFromFavorites	Rimuovi dai Preferiti
browse.actionShare	Crea link di condivisione
browse.actionDelete	Elimina
browse.renameTitle	Rinomina
browse.renameNamePlaceholder	Nome
browse.actionNewFolder	Crea cartella
browse.newFolderTitle	Nuova cartella
browse.newFolderPlaceholder	Nome della cartella
browse.newFolderConfirm	Crea
browse.deleteConfirmTitle	Eliminare?
browse.deleteConfirmOne	Eliminare “%@”?
browse.deleteConfirmMany	Eliminare %lld elementi?
browse.deleteMessage	Questa azione non può essere annullata.
browse.deleteLinkedSharesOne	Questo rimuove anche 1 link di condivisione che punta qui.
browse.deleteLinkedSharesMany	Questo rimuove anche %lld link di condivisione che puntano qui.
browse.deleteLinkedSharesUnavailable	Impossibile verificare i link che puntano qui. Quelli esistenti smetteranno di funzionare.
browse.searchNoMatchesInFolder	Nessun risultato per “%@”.
browse.searchEverywhere	Cerca ovunque
browse.searchFailed	Ricerca non riuscita. Controlla la connessione e riprova.
browse.progressExtracting	Estrazione…
browse.progressCompressing	Compressione…
browse.offlineBannerTitle	Offline
browse.offlineBannerDetail	Visualizzazione di una copia salvata da %@
browse.actionCopy	Copia
browse.destinationPickerMoveTitle	Sposta in…
browse.destinationPickerConfirmMove	Sposta qui
browse.destinationPickerNoFolders	Nessuna cartella qui
browse.destinationPickerLoadFailed	Impossibile caricare le cartelle.
browse.actionMove	Sposta
browse.actionPaste	Incolla
browse.actionPasteCount	Incolla %lld elementi
browse.actionPasteHere	Incolla qui
browse.actionClearClipboard	Svuota appunti
browse.clipboardMoveCount	%lld da spostare
browse.clipboardCopyCount	%lld da copiare
browse.clipboardCopiedOne	%@ copiato
browse.clipboardCopiedMany	%lld elementi copiati
browse.progressMoving	Spostamento…
browse.progressCopying	Copia…
browse.transferMoved	Spostati %lld elementi
browse.transferCopied	Copiati %lld elementi
browse.transferMovedWithSkipped	Spostati %1$lld elementi, saltati %2$lld
browse.transferCopiedWithSkipped	Copiati %1$lld elementi, saltati %2$lld
browse.transferConflictTitle	Sostituire gli elementi?
browse.transferConflictMessageOne	"%@" esiste già in questa cartella.
browse.transferConflictMessageMany	%lld elementi esistono già in questa cartella.
browse.transferConflictReplace	Sostituisci
browse.transferConflictKeepBoth	Mantieni entrambi
browse.actionOpenInBrowser	Apri nel browser
favorites.navigationTitle	Preferiti
favorites.emptyList	Contrassegna le cartelle in Esplora per vederle qui.
favorites.actionRemoveFromFavorites	Rimuovi dai Preferiti
favorites.actionEdit	Modifica
