# NextExplorer — Nederlands (nl). key<TAB>value.
common.cancel	Annuleren
common.save	Bewaren
common.edit	Wijzigen
common.retry	Opnieuw proberen
common.delete	Verwijderen
common.remove	Verwijderen
common.clear	Wissen
common.done	Gereed
common.ok	Oké
common.openSettings	Open Instellingen
common.logOut	Uitloggen
common.close	Sluiten
common.back	Terug
common.share	Delen
common.download	Downloaden
common.sort	Sorteren
common.select	Selecteren
common.search	Zoeken
common.password	Wachtwoord
common.never	Nooit
common.selectedCount	%lld geselecteerd
tab.browse	Verkennen
tab.favorites	Favorieten
tab.shared	Gedeeld
tab.downloads	Downloads
tab.settings	Instellingen
sort.sheetTitle	Sorteren op
sort.name	Naam
sort.size	Grootte
sort.kind	Soort
sort.dateModified	Wijzigingsdatum
sort.dateAdded	Datum toegevoegd
sort.dateShared	Datum gedeeld
sort.expiration	Verloopt
sort.email	E-mail
sort.type	Type
sort.ascending	Oplopend
sort.descending	Aflopend
select.selectAll	Alles selecteren
select.deselectAll	Selectie opheffen
select.listView	Lijstweergave
select.gridView	Rasterweergave
emptyState.folderEmpty	Deze map is leeg.
emptyState.loadFailed	Kan de server niet bereiken.
emptyState.noSearchMatches	Geen resultaten voor “%@”.
accessMode.readonly	Alleen-lezen
accessMode.readwrite	Lezen en schrijven
shareTarget.anyone	Iedereen met de link
shareTarget.users	Specifieke gebruikers
directLinkMode.auto	Automatisch
directLinkMode.inline	Weergeven
directLinkMode.raw	Onbewerkt
directLinkMode.download	Downloaden
thumbnailSize.small	Klein
thumbnailSize.medium	Gemiddeld
thumbnailSize.large	Groot
downloadLocation.documents	Documenten
downloadLocation.cache	Cache
dateFormat.automatic	Automatisch
browse.navigationTitle	Verkennen
browse.scopeThisFolder	Deze map
browse.scopeEverywhere	Overal
browse.searchScopeInFolder	Deze map
browse.searchScopeEverywhere	Overal
browse.locations	Locaties
browse.open	Openen
browse.unsupportedFileType	Niet-ondersteund bestandstype
browse.actionGetInfo	Toon info
browse.actionPermissions	Rechten
browse.actionRename	Naam wijzigen
browse.actionExtract	Uitpakken
browse.actionCompress	Comprimeren
browse.actionDownload	Downloaden
browse.actionAddToFavorites	Aan favorieten toevoegen
browse.actionRemoveFromFavorites	Uit favorieten verwijderen
browse.actionShare	Deellink maken
browse.actionDelete	Verwijderen
browse.renameTitle	Naam wijzigen
browse.renameNamePlaceholder	Naam
browse.actionNewFolder	Map maken
browse.newFolderTitle	Nieuwe map
browse.newFolderPlaceholder	Mapnaam
browse.newFolderConfirm	Maken
browse.deleteConfirmTitle	Verwijderen?
browse.deleteConfirmOne	“%@” verwijderen?
browse.deleteConfirmMany	%lld items verwijderen?
browse.deleteMessage	Dit kan niet ongedaan worden gemaakt.
browse.deleteLinkedSharesOne	Hiermee wordt ook 1 deellink verwijderd die hierheen verwijst.
browse.deleteLinkedSharesMany	Hiermee worden ook %lld deellinks verwijderd die hierheen verwijzen.
