# NextExplorer — Русский (ru). key<TAB>value.
common.cancel	Отмена
common.save	Сохранить
common.edit	Изменить
common.retry	Повторить
common.delete	Удалить
common.remove	Убрать
common.clear	Очистить
common.done	Готово
common.ok	ОК
common.openSettings	Открыть настройки
common.logOut	Выйти
common.close	Закрыть
common.back	Назад
common.share	Поделиться
common.download	Загрузить
common.sort	Сортировка
common.select	Выбрать
common.search	Поиск
common.password	Пароль
common.never	Никогда
common.selectedCount	Выбрано: %lld
tab.browse	Обзор
tab.favorites	Избранное
tab.shared	Общие
tab.downloads	Загрузки
tab.settings	Настройки
sort.sheetTitle	Сортировать по
sort.name	Имя
sort.size	Размер
sort.kind	Тип
sort.dateModified	Дата изменения
sort.dateAdded	Дата добавления
sort.dateShared	Дата открытия доступа
sort.expiration	Срок действия
sort.email	Эл. почта
sort.type	Тип
sort.ascending	По возрастанию
sort.descending	По убыванию
select.selectAll	Выбрать все
select.deselectAll	Снять выделение
select.listView	Список
select.gridView	Сетка
emptyState.folderEmpty	Эта папка пуста.
emptyState.loadFailed	Не удалось связаться с сервером.
emptyState.noSearchMatches	Нет результатов для «%@».
accessMode.readonly	Только чтение
accessMode.readwrite	Чтение и запись
shareTarget.anyone	Любой, у кого есть ссылка
shareTarget.users	Определённые пользователи
directLinkMode.auto	Автоматически
directLinkMode.inline	Просмотр
directLinkMode.raw	Без обработки
directLinkMode.download	Загрузка
thumbnailSize.small	Маленькие
thumbnailSize.medium	Средние
thumbnailSize.large	Большие
downloadLocation.documents	Документы
downloadLocation.cache	Кеш
dateFormat.automatic	Автоматически
browse.navigationTitle	Обзор
browse.scopeThisFolder	Эта папка
browse.scopeEverywhere	Везде
browse.searchScopeInFolder	Эта папка
browse.searchScopeEverywhere	Везде
browse.locations	Расположения
browse.open	Открыть
browse.unsupportedFileType	Неподдерживаемый тип файла
browse.actionGetInfo	Свойства
browse.actionPermissions	Права доступа
browse.actionRename	Переименовать
browse.actionExtract	Извлечь
browse.actionCompress	Сжать
browse.actionDownload	Загрузить
browse.actionAddToFavorites	Добавить в избранное
browse.actionRemoveFromFavorites	Убрать из избранного
browse.actionShare	Создать ссылку для доступа
browse.actionDelete	Удалить
browse.renameTitle	Переименовать
