# NextExplorer — Svenska (sv). key<TAB>value.
common.cancel	Avbryt
common.save	Spara
common.edit	Redigera
common.retry	Försök igen
common.delete	Radera
common.remove	Ta bort
common.clear	Rensa
common.done	Klar
common.ok	OK
common.openSettings	Öppna Inställningar
common.logOut	Logga ut
common.close	Stäng
common.back	Tillbaka
common.share	Dela
common.download	Ladda ner
common.sort	Sortera
common.select	Markera
common.search	Sök
common.password	Lösenord
common.never	Aldrig
common.selectedCount	%lld markerade
tab.browse	Bläddra
tab.favorites	Favoriter
tab.shared	Delade
tab.downloads	Nedladdningar
tab.settings	Inställningar
sort.sheetTitle	Sortera efter
sort.name	Namn
sort.size	Storlek
sort.kind	Sort
sort.dateModified	Ändringsdatum
sort.dateAdded	Tillagd datum
sort.dateShared	Delad datum
sort.expiration	Upphör
sort.email	E-post
sort.type	Typ
sort.ascending	Stigande
sort.descending	Fallande
select.selectAll	Markera alla
select.deselectAll	Avmarkera alla
select.listView	Listvy
select.gridView	Rutnätsvy
emptyState.folderEmpty	Den här mappen är tom.
emptyState.loadFailed	Det gick inte att nå servern.
emptyState.noSearchMatches	Inga träffar för ”%@”.
accessMode.readonly	Skrivskyddad
accessMode.readwrite	Läs och skriv
shareTarget.anyone	Alla med länken
shareTarget.users	Specifika användare
directLinkMode.auto	Automatisk
directLinkMode.inline	Visa
directLinkMode.raw	Rå
directLinkMode.download	Ladda ner
thumbnailSize.small	Liten
thumbnailSize.medium	Mellan
thumbnailSize.large	Stor
downloadLocation.documents	Dokument
downloadLocation.cache	Cache
dateFormat.automatic	Automatisk
browse.navigationTitle	Bläddra
browse.scopeThisFolder	Den här mappen
browse.scopeEverywhere	Överallt
browse.searchScopeInFolder	Den här mappen
browse.searchScopeEverywhere	Överallt
browse.locations	Platser
browse.open	Öppna
browse.unsupportedFileType	Filtypen stöds inte
browse.actionGetInfo	Visa info
browse.actionPermissions	Behörigheter
browse.actionRename	Byt namn
browse.actionExtract	Extrahera
browse.actionCompress	Komprimera
browse.actionDownload	Ladda ner
browse.actionAddToFavorites	Lägg till i favoriter
browse.actionRemoveFromFavorites	Ta bort från favoriter
browse.actionShare	Skapa delningslänk
browse.actionDelete	Radera
browse.renameTitle	Byt namn
browse.renameNamePlaceholder	Namn
browse.actionNewFolder	Skapa mapp
browse.newFolderTitle	Ny mapp
browse.newFolderPlaceholder	Mappnamn
browse.newFolderConfirm	Skapa
browse.deleteConfirmTitle	Radera?
browse.deleteConfirmOne	Radera ”%@”?
browse.deleteConfirmMany	Radera %lld objekt?
browse.deleteMessage	Det här kan inte ångras.
browse.deleteLinkedSharesOne	Detta tar även bort 1 delningslänk som pekar hit.
browse.deleteLinkedSharesMany	Detta tar även bort %lld delningslänkar som pekar hit.
browse.deleteLinkedSharesUnavailable	Det gick inte att kontrollera länkar som pekar hit. De som finns slutar fungera.
browse.searchNoMatchesInFolder	Inga träffar för ”%@”.
browse.searchEverywhere	Sök överallt
browse.searchFailed	Sökningen misslyckades. Kontrollera anslutningen och försök igen.
browse.progressExtracting	Extraherar…
browse.progressCompressing	Komprimerar…
browse.progressDownloading	Laddar ner…
browse.progressDownloadingIndexed	Laddar ner %1$lld av %2$lld…
browse.downloadSavedTo	Sparad i %@
browse.downloadSavedCountTo	Sparade %1$lld av %2$lld objekt i %3$@
browse.downloadSavedAllTo	Sparade %1$lld objekt i %2$@
browse.downloadBulkFailed	Det gick inte att spara dessa objekt på din enhet.
browse.offlineBannerTitle	Offline
browse.offlineBannerDetail	Visar en sparad kopia från %@
browse.actionCopy	Kopiera
browse.destinationPickerMoveTitle	Flytta till…
browse.destinationPickerConfirmMove	Flytta hit
browse.destinationPickerNoFolders	Inga mappar här
browse.destinationPickerLoadFailed	Det gick inte att läsa in mapparna.
browse.actionMove	Flytta
browse.actionPaste	Klistra in
browse.actionPasteCount	Klistra in %lld objekt
browse.actionPasteHere	Klistra in här
browse.actionClearClipboard	Rensa urklipp
browse.clipboardMoveCount	%lld att flytta
browse.clipboardCopyCount	%lld att kopiera
browse.clipboardCopiedOne	%@ kopierad
browse.clipboardCopiedMany	%lld objekt kopierade
browse.progressMoving	Flyttar…
browse.progressCopying	Kopierar…
browse.transferMoved	Flyttade %lld objekt
browse.transferCopied	Kopierade %lld objekt
browse.transferMovedWithSkipped	Flyttade %1$lld objekt, hoppade över %2$lld
browse.transferCopiedWithSkipped	Kopierade %1$lld objekt, hoppade över %2$lld
browse.transferConflictTitle	Ersätt objekt?
browse.transferConflictMessageOne	”%@” finns redan i den här mappen.
browse.transferConflictMessageMany	%lld objekt finns redan i den här mappen.
browse.transferConflictReplace	Ersätt
browse.transferConflictKeepBoth	Behåll båda
browse.actionOpenInBrowser	Öppna i webbläsare
favorites.navigationTitle	Favoriter
favorites.emptyList	Markera mappar i Bläddra för att se dem här.
favorites.actionRemoveFromFavorites	Ta bort från favoriter
favorites.actionEdit	Redigera
favorites.editTitle	Redigera favorit
favorites.editNameLabel	Namn
favorites.editNameErrorEmpty	Namnet får inte vara tomt.
favorites.editIconLabel	Symbol
favorites.editIconOutline	Kontur
favorites.editIconSolid	Fylld
favorites.editColorLabel	Färg
favorites.editColorDefault	Standard
favorites.editSave	Spara
favorites.reorderFailed	Det gick inte att spara den nya ordningen.
favorites.removeConfirm	Ta bort %lld favoriter?
favorites.removeMessage	Detta tar bara bort dem från favoriter.
favorites.removeFailedOne	Det gick inte att ta bort den favoriten.
favorites.removeFailedMany	Det gick inte att ta bort de favoriterna.
favorites.removePartial	Tog bort %1$lld av %2$lld.
downloads.navigationTitle	Nedladdningar
downloads.actionOpenInFiles	Öppna i Filer
downloads.emptyList	Filer du laddar ner från Bläddra visas här.
downloads.deleteConfirmTitle	Radera?
downloads.deleteConfirmOne	Radera ”%@”?
downloads.deleteConfirmMany	Radera %lld filer?
downloads.deleteSingleMessage	Detta tar bara bort den lokala kopian. Filen finns kvar på servern.
downloads.deleteBulkMessage	Detta tar bara bort de lokala kopiorna. Filerna finns kvar på servern.
downloads.errorNameExists	En fil med det namnet finns redan.
downloads.errorInvalidName	Det namnet är inte tillåtet.
downloads.errorMissing	Filen kunde inte längre hittas.
downloads.errorGeneric	Det gick inte att slutföra åtgärden.
unsupportedPreview.genericType	Fil
unsupportedPreview.cannotOpen	Den här appen kan inte öppna den här filtypen.
uploads.navigationTitle	Uppladdningar
uploads.menuTitle	Ladda upp
uploads.actionUploadFromFiles	Ladda upp från Filer
uploads.actionUploadFromPhotos	Ladda upp från galleriet
uploads.actionTakePhoto	Ta foto eller video
uploads.cameraDeniedTitle	Kameraåtkomst krävs
uploads.cameraDeniedMessage	Tillåt kameraåtkomst i Inställningar för att ta ett foto eller en video.
uploads.destinationTitle	Ladda upp till…
uploads.destinationConfirm	Ladda upp här
uploads.reviewTitleOne	Ladda upp 1 fil
uploads.reviewTitleMany	Ladda upp %lld filer
